speed_mult,info_lag,hft_frac,vol_ratio_mean,n_runs
2,1,0.0,2.3465309117705173,30
2,1,0.2,2.410946194808745,30
2,1,0.4,2.4084488054031903,30
2,1,0.6,2.7200940780020457,30
2,1,0.8,2.706056601958139,30
2,1,1.0,3.5953240039089422,30
2,3,0.0,2.5961601853975287,30
2,3,0.2,2.7439016173071464,30
2,3,0.4,2.336371332971682,30
2,3,0.6,2.5796838496151917,30
2,3,0.8,3.041446960741005,30
2,3,1.0,3.817910876210336,30
2,5,0.0,2.3399069646469806,30
2,5,0.2,2.426260026413856,30
2,5,0.4,3.0451755397303257,30
2,5,0.6,3.1048067518406035,30
2,5,0.8,2.5309580705544517,29
2,5,1.0,2.834897283830973,30
3,1,0.0,2.178019172947756,30
3,1,0.2,3.053536578984966,30
3,1,0.4,3.160898815285694,30
3,1,0.6,3.5074164697854737,30
3,1,0.8,3.6016247589701464,26
3,1,1.0,1.9043104130660926,30
3,3,0.0,2.1408358352740295,30
3,3,0.2,2.7402351410835752,30
3,3,0.4,3.2153541921970175,30
3,3,0.6,3.8795699067887135,27
3,3,0.8,3.588060751463031,24
3,3,1.0,2.2650033484839645,30
3,5,0.0,2.699816515367516,30
3,5,0.2,2.687201296470167,30
3,5,0.4,2.8904162060241663,30
3,5,0.6,2.250959736991716,2
