comparison,phi,baseline_speed,speed_mult,baseline_mean,treatment_mean,U_stat,p_value,significant
speed_effect,0.2,1,2,2.2645847119436056,2.5406048067520515,386.0,0.1739138914879057,False
speed_effect,0.2,1,3,2.2645847119436056,2.515567889160159,430.0,0.3865599712337615,False
speed_effect,0.2,1,5,2.2645847119436056,2.424620341440865,424.0,0.3530857441406148,False
speed_effect,0.4,1,2,2.1607453491909347,3.3924995474342494,242.0,0.0010783189106148843,True
speed_effect,0.4,1,3,2.1607453491909347,3.0718719058948283,270.0,0.003979497830522785,True
speed_effect,0.4,1,5,2.1607453491909347,2.740747545639064,350.0,0.07063875322024576,False
speed_effect,0.6,1,2,3.2637523232500905,2.970383634054917,462.0,0.5733091316226034,False
speed_effect,0.6,1,3,3.2637523232500905,2.4553457078319316,550.0,0.9313385825765035,False
speed_effect,0.6,1,5,3.2637523232500905,1.7336426857516793,646.0,0.9981645533037746,False
speed_effect,0.8,1,2,1.9279490069965464,2.9603830964731013,330.0,0.03863598796466976,True
speed_effect,0.8,1,3,1.9279490069965464,2.7904879111680483,289.0,0.00882451406458692,True
speed_effect,0.8,1,5,1.9279490069965464,0.7593050659725384,782.0,0.9999995579452541,False
speed_effect,1.0,1,2,1.7758563859030196,2.9329517783707684,271.0,0.00415730454337472,True
speed_effect,1.0,1,3,1.7758563859030196,2.496732561039033,328.0,0.03622279788711834,True
speed_effect,1.0,1,5,1.7758563859030196,0.4722238726866931,832.0,0.9999999922238668,False
