regime,hft_frac,baseline_mean,treatment_mean,u_stat,p_value,significant_0_05
calendar,0.1,1.7459916904523225,2.2236635815994226,584.0,0.024206749732406815,True
calendar,0.2,1.7459916904523225,2.540604806752053,644.0,0.002112958865689309,True
calendar,0.3,1.7459916904523225,2.4414296289307487,543.0,0.08572502372985508,False
calendar,0.4,1.7459916904523225,3.392499547434251,738.0,1.0663629593593407e-05,True
calendar,0.5,1.7459916904523225,3.141568264330614,677.0,0.0004059987875843483,True
calendar,0.6,1.7459916904523225,2.9703836340549183,625.0,0.004941700645842906,True
calendar,0.7,1.7459916904523225,2.6469326215060116,614.0,0.007819059762845396,True
calendar,0.8,1.7459916904523225,2.960383096473102,620.0,0.006105969832601181,True
calendar,0.9,1.7459916904523225,2.930049007425342,633.0,0.003486220747285127,True
calendar,1.0,1.7459916904523225,2.9329517783707715,647.0,0.0018354466962253269,True
