comparison,phi,baseline_lag,info_lag,baseline_mean,treatment_mean,U_stat,p_value,significant
delay_effect,0.2,0,1,2.1056333775904106,2.370478290978876,387.0,0.17773623629715535,False
delay_effect,0.2,0,3,2.1056333775904106,2.4785104088480927,368.0,0.11411503340371182,False
delay_effect,0.2,0,5,2.1056333775904106,2.29161755841887,453.0,0.5206342545932782,False
delay_effect,0.2,0,10,2.1056333775904106,2.2615942737360015,384.0,0.16642734578636414,False
delay_effect,0.4,0,1,2.2110324939362767,2.3209587046150917,465.0,0.5906271732617101,False
delay_effect,0.4,0,3,2.2110324939362767,2.10254683652685,449.0,0.4970509606627476,False
delay_effect,0.4,0,5,2.2110324939362767,2.672685295133132,377.0,0.1418890239728121,False
delay_effect,0.4,0,10,2.2110324939362767,1.9893319925633683,507.0,0.8023664943334416,False
delay_effect,0.6,0,1,2.2836253102308977,2.4487035972448075,356.0,0.08343308523162984,False
delay_effect,0.6,0,3,2.2836253102308977,2.524432746054566,357.0,0.08572502372985508,False
delay_effect,0.6,0,5,2.2836253102308977,2.164635099187247,417.0,0.31543814608085996,False
delay_effect,0.6,0,10,2.2836253102308977,1.9604451094394608,459.0,0.5558485789233056,False
delay_effect,0.8,0,1,1.8607101528224506,2.0821590955509075,367.0,0.11128644823328254,False
delay_effect,0.8,0,3,1.8607101528224506,2.549393668298807,310.0,0.019583534019412947,True
delay_effect,0.8,0,5,1.8607101528224506,2.530557142310462,298.0,0.012550641364667554,True
delay_effect,0.8,0,10,1.8607101528224506,2.284530428676857,322.0,0.029713957584476203,True
delay_effect,1.0,0,1,2.446115659094574,2.080768936861364,523.0,0.8614054051134761,False
delay_effect,1.0,0,3,2.446115659094574,2.167267746363851,485.0,0.7001552577438148,False
delay_effect,1.0,0,5,2.446115659094574,2.2731746390881082,434.0,0.40937282673828984,False
delay_effect,1.0,0,10,2.446115659094574,2.3386514214805256,461.0,0.5675031469177563,False
