speed_mult,info_lag,baseline_vol_ratio,threshold_1_3x,phi_star,max_vol_ratio,phi_at_max,n_runs_per_phi_min,n_runs_per_phi_max
2,1,2.3465309117705173,3.0504901853016726,1.0,3.5953240039089422,1.0,30,30
2,3,2.5961601853975287,3.375008241016787,1.0,3.817910876210336,1.0,30,30
2,5,2.3399069646469806,3.041879054041075,0.4,3.1048067518406035,0.6,30,30
2,10,2.366258252569337,3.0761357283401383,0.8,3.3851309713817375,1.0,30,30
3,1,2.178019172947756,2.831424924832083,0.2,3.5074164697854737,0.6,30,30
3,3,2.1408358352740295,2.7830865858562386,0.4,3.6761587310014745,0.6,30,30
3,5,2.699816515367516,3.509761469977771,,3.334505329907994,0.6,30,30
3,10,2.2381158250868016,2.9095505726128423,0.4,3.4512780209140614,0.4,30,30
5,1,2.6396986555441697,3.431608252207421,,3.112278865115296,0.4,30,30
5,3,2.7769389183910445,3.610020593908358,,3.521027965185128,0.4,30,30
5,5,2.5263257831286596,3.2842235180672574,,3.164212859507167,0.4,30,30
5,10,2.466387968975926,3.2063043596687035,0.4,3.225972064681435,0.4,30,30
